q,relative_compactness,surface_area,wall_area,roof_area,overall_height
0,0.6200000000,808.5000000000,367.5000000000,220.5000000000,3.5000000000
1,0.6400000000,784.0000000000,343.0000000000,220.5000000000,3.5000000000
2,0.6600000000,759.5000000000,318.5000000000,220.5000000000,3.5000000000
3,0.6900000000,735.0000000000,294.0000000000,220.5000000000,3.5000000000
4,0.7100000000,710.5000000000,269.5000000000,220.5000000000,3.5000000000
5,0.7400000000,686.0000000000,245.0000000000,220.5000000000,3.5000000000
6,0.7600000000,661.5000000000,416.5000000000,122.5000000000,7.0000000000
7,0.7900000000,637.0000000000,343.0000000000,147.0000000000,7.0000000000
8,0.8200000000,612.5000000000,318.5000000000,147.0000000000,7.0000000000
9,0.8600000000,588.0000000000,294.0000000000,147.0000000000,7.0000000000
10,0.9000000000,563.5000000000,318.5000000000,122.5000000000,7.0000000000
11,0.9800000000,514.5000000000,294.0000000000,110.2500000000,7.0000000000
