q,p1,p2,pinf
0,0.2938069950,0.4045194031,0.5111614467
1,0.3455783397,0.4280123842,0.5111614467
2,0.3973496845,0.4545923629,0.5111614467
3,0.4539734072,0.4851930380,0.5111614467
4,0.5057447519,0.5134774036,0.5111614467
5,0.5623684746,0.5426520157,0.5111614467
6,0.3504133077,0.4018748828,0.4594799959
7,0.4137813318,0.4195404778,0.3893326365
8,0.4704050545,0.4607206494,0.3893326365
9,0.5318811552,0.5026415752,0.3893326365
10,0.5866129544,0.5386556905,0.4594799959
11,0.7061930050,0.5954805969,0.4888385533
