norm,right_index,left_witness_index,invalid_cutoff_open_lower,invalid_cutoff_closed_upper,inversion_depth
p1,6,5,0.3504133077,0.5623684746,0.2119551670
p1,7,5,0.4137813318,0.5623684746,0.1485871428
p1,8,5,0.4704050545,0.5623684746,0.0919634201
p1,9,5,0.5318811552,0.5623684746,0.0304873194
p2,6,5,0.4018748828,0.5426520157,0.1407771329
p2,7,5,0.4195404778,0.5426520157,0.1231115379
p2,8,5,0.4607206494,0.5426520157,0.0819313662
p2,9,5,0.5026415752,0.5426520157,0.0400104405
p2,10,5,0.5386556905,0.5426520157,0.0039963252
pinf,6,0,0.4594799959,0.5111614467,0.0516814508
pinf,7,0,0.3893326365,0.5111614467,0.1218288102
pinf,8,0,0.3893326365,0.5111614467,0.1218288102
pinf,9,0,0.3893326365,0.5111614467,0.1218288102
pinf,10,0,0.4594799959,0.5111614467,0.0516814508
pinf,11,0,0.4888385533,0.5111614467,0.0223228933
